Model,Manual_annotated_sentences,Date-Drug_annotations,Generated_annotations,Total_annotations,Type_of_evaluation,Initiation_[95%_CI],Continuation_[95%_CI],Termination_[95%_CI],Ambiguous_[95%_CI],NoRelationship_[95%_CI],Macro_[95%_CI]
DrBERT4GB-CP-PubMedBERT,1035,3235,21000,24235,precision,0.793 [0.732 - 0.856],0.772 [0.676 - 0.867],0.854 [0.78 - 0.93],0.324 [0.172 - 0.484],0.838 [0.777 - 0.89],0.716 [0.68 - 0.76]
DrBERT4GB-CP-PubMedBERT,1035,3235,21000,24235,recall,0.87 [0.813 - 0.926],0.698 [0.6 - 0.797],0.909 [0.838 - 0.967],0.357 [0.184 - 0.52],0.77 [0.707 - 0.829],0.721 [0.682 - 0.764]
DrBERT4GB-CP-PubMedBERT,1035,3235,21000,24235,f1-score,0.829 [0.783 - 0.875],0.732 [0.656 - 0.812],0.88 [0.821 - 0.932],0.336 [0.182 - 0.485],0.802 [0.757 - 0.843],0.716 [0.679 - 0.758]
DrBERT4GB-CP-PubMedBERT,1035,3235,45000,48235,precision,0.803 [0.739 - 0.861],0.684 [0.598 - 0.779],0.908 [0.83 - 0.972],0.396 [0.244 - 0.55],0.846 [0.778 - 0.899],0.727 [0.687 - 0.771]
DrBERT4GB-CP-PubMedBERT,1035,3235,45000,48235,recall,0.864 [0.796 - 0.915],0.784 [0.697 - 0.866],0.883 [0.805 - 0.949],0.488 [0.304 - 0.667],0.714 [0.65 - 0.78],0.746 [0.702 - 0.794]
DrBERT4GB-CP-PubMedBERT,1035,3235,45000,48235,f1-score,0.832 [0.784 - 0.88],0.73 [0.655 - 0.8],0.895 [0.839 - 0.942],0.434 [0.29 - 0.579],0.774 [0.717 - 0.822],0.733 [0.691 - 0.777]
DrBERT4GB-CP-PubMedBERT,1035,3235,93000,96235,precision,0.877 [0.821 - 0.929],0.811 [0.716 - 0.89],0.789 [0.7 - 0.865],0.489 [0.296 - 0.68],0.848 [0.794 - 0.892],0.763 [0.713 - 0.81]
DrBERT4GB-CP-PubMedBERT,1035,3235,93000,96235,recall,0.858 [0.797 - 0.914],0.794 [0.704 - 0.873],0.908 [0.833 - 0.972],0.419 [0.242 - 0.594],0.837 [0.782 - 0.889],0.763 [0.718 - 0.806]
DrBERT4GB-CP-PubMedBERT,1035,3235,93000,96235,f1-score,0.867 [0.821 - 0.905],0.802 [0.724 - 0.867],0.844 [0.781 - 0.898],0.447 [0.273 - 0.597],0.842 [0.8 - 0.879],0.76 [0.713 - 0.802]
DrBERT7GB-Large,100,335,0,335,precision,0.368 [0.315 - 0.417],0.5 [0.231 - 0.812],0.0 [0.0 - 0.0],0.275 [0.0 - 0.571],0.727 [0.656 - 0.797],0.374 [0.293 - 0.457]
DrBERT7GB-Large,100,335,0,335,recall,0.865 [0.81 - 0.92],0.075 [0.028 - 0.138],0.0 [0.0 - 0.0],0.098 [0.0 - 0.207],0.585 [0.522 - 0.654],0.325 [0.296 - 0.355]
DrBERT7GB-Large,100,335,0,335,f1-score,0.515 [0.46 - 0.567],0.13 [0.051 - 0.225],0.0 [0.0 - 0.0],0.142 [0.0 - 0.286],0.648 [0.593 - 0.706],0.287 [0.25 - 0.327]
DrBERT7GB-Large,395,1230,0,1230,precision,0.587 [0.515 - 0.661],0.587 [0.439 - 0.722],0.691 [0.58 - 0.79],0.255 [0.118 - 0.41],0.64 [0.565 - 0.702],0.552 [0.501 - 0.602]
DrBERT7GB-Large,395,1230,0,1230,recall,0.688 [0.613 - 0.76],0.293 [0.202 - 0.39],0.634 [0.527 - 0.731],0.293 [0.138 - 0.476],0.702 [0.623 - 0.771],0.522 [0.477 - 0.569]
DrBERT7GB-Large,395,1230,0,1230,f1-score,0.633 [0.569 - 0.696],0.389 [0.288 - 0.489],0.66 [0.574 - 0.735],0.269 [0.129 - 0.41],0.669 [0.611 - 0.719],0.524 [0.479 - 0.57]
DrBERT7GB-Large,740,2406,0,2406,precision,0.586 [0.52 - 0.663],0.795 [0.647 - 0.923],0.846 [0.758 - 0.929],0.238 [0.105 - 0.375],0.748 [0.681 - 0.809],0.643 [0.595 - 0.689]
DrBERT7GB-Large,740,2406,0,2406,recall,0.781 [0.706 - 0.849],0.33 [0.23 - 0.437],0.714 [0.614 - 0.81],0.323 [0.154 - 0.5],0.748 [0.685 - 0.813],0.579 [0.533 - 0.63]
DrBERT7GB-Large,740,2406,0,2406,f1-score,0.669 [0.613 - 0.727],0.464 [0.344 - 0.577],0.773 [0.696 - 0.847],0.271 [0.123 - 0.4],0.748 [0.698 - 0.796],0.585 [0.538 - 0.631]
DrBERT7GB-Large,1035,3235,0,3235,precision,0.621 [0.551 - 0.694],0.747 [0.629 - 0.857],0.867 [0.779 - 0.942],0.283 [0.155 - 0.414],0.784 [0.724 - 0.842],0.66 [0.617 - 0.702]
DrBERT7GB-Large,1035,3235,0,3235,recall,0.755 [0.687 - 0.824],0.524 [0.414 - 0.645],0.75 [0.654 - 0.844],0.492 [0.296 - 0.677],0.697 [0.63 - 0.765],0.644 [0.589 - 0.695]
DrBERT7GB-Large,1035,3235,0,3235,f1-score,0.681 [0.622 - 0.741],0.614 [0.515 - 0.706],0.803 [0.729 - 0.872],0.357 [0.209 - 0.49],0.737 [0.683 - 0.785],0.638 [0.592 - 0.678]
DrBERT7GB-Large,1035,3235,3000,6235,precision,0.754 [0.686 - 0.818],0.73 [0.636 - 0.824],0.825 [0.733 - 0.906],0.313 [0.176 - 0.463],0.75 [0.686 - 0.814],0.674 [0.63 - 0.718]
DrBERT7GB-Large,1035,3235,3000,6235,recall,0.785 [0.716 - 0.847],0.722 [0.608 - 0.821],0.676 [0.569 - 0.787],0.388 [0.216 - 0.571],0.754 [0.696 - 0.816],0.665 [0.614 - 0.717]
DrBERT7GB-Large,1035,3235,3000,6235,f1-score,0.768 [0.709 - 0.818],0.725 [0.639 - 0.8],0.742 [0.654 - 0.819],0.343 [0.194 - 0.484],0.751 [0.701 - 0.799],0.666 [0.619 - 0.71]
DrBERT7GB-Large,1035,3235,9000,12235,precision,0.81 [0.738 - 0.87],0.595 [0.5 - 0.699],0.959 [0.894 - 1.0],0.311 [0.143 - 0.529],0.735 [0.671 - 0.801],0.682 [0.641 - 0.729]
DrBERT7GB-Large,1035,3235,9000,12235,recall,0.749 [0.679 - 0.815],0.766 [0.671 - 0.849],0.61 [0.506 - 0.725],0.218 [0.091 - 0.368],0.836 [0.779 - 0.885],0.636 [0.591 - 0.676]
DrBERT7GB-Large,1035,3235,9000,12235,f1-score,0.777 [0.72 - 0.829],0.668 [0.592 - 0.743],0.744 [0.661 - 0.827],0.253 [0.111 - 0.406],0.782 [0.732 - 0.83],0.645 [0.599 - 0.688]
DrBERT7GB-Large,1035,3235,21000,24235,precision,0.884 [0.822 - 0.932],0.582 [0.477 - 0.68],0.723 [0.622 - 0.814],0.451 [0.2 - 0.75],0.742 [0.674 - 0.802],0.676 [0.613 - 0.743]
DrBERT7GB-Large,1035,3235,21000,24235,recall,0.725 [0.645 - 0.794],0.72 [0.63 - 0.816],0.819 [0.738 - 0.897],0.203 [0.074 - 0.351],0.801 [0.739 - 0.852],0.653 [0.607 - 0.696]
DrBERT7GB-Large,1035,3235,21000,24235,f1-score,0.796 [0.735 - 0.846],0.642 [0.553 - 0.716],0.767 [0.702 - 0.836],0.275 [0.105 - 0.444],0.77 [0.717 - 0.816],0.65 [0.6 - 0.699]
DrBERT7GB-Large,1035,3235,45000,48235,precision,0.711 [0.651 - 0.775],0.649 [0.558 - 0.744],0.849 [0.754 - 0.933],0.276 [0.067 - 0.526],0.805 [0.739 - 0.864],0.658 [0.608 - 0.717]
DrBERT7GB-Large,1035,3235,45000,48235,recall,0.893 [0.837 - 0.938],0.717 [0.608 - 0.805],0.679 [0.575 - 0.779],0.163 [0.033 - 0.304],0.723 [0.655 - 0.788],0.635 [0.594 - 0.679]
DrBERT7GB-Large,1035,3235,45000,48235,f1-score,0.791 [0.743 - 0.836],0.68 [0.604 - 0.749],0.753 [0.667 - 0.825],0.201 [0.048 - 0.367],0.761 [0.708 - 0.81],0.637 [0.593 - 0.686]
DrBERT7GB-Large,1035,3235,93000,96235,precision,0.749 [0.681 - 0.821],0.69 [0.584 - 0.788],0.835 [0.74 - 0.914],0.222 [0.074 - 0.394],0.735 [0.67 - 0.799],0.646 [0.602 - 0.696]
DrBERT7GB-Large,1035,3235,93000,96235,recall,0.744 [0.66 - 0.816],0.696 [0.598 - 0.788],0.728 [0.625 - 0.827],0.194 [0.059 - 0.333],0.792 [0.729 - 0.851],0.631 [0.589 - 0.679]
DrBERT7GB-Large,1035,3235,93000,96235,f1-score,0.746 [0.681 - 0.803],0.692 [0.61 - 0.769],0.777 [0.695 - 0.846],0.204 [0.069 - 0.348],0.762 [0.709 - 0.81],0.636 [0.595 - 0.684]
